prefix-sensitive
precision
label	ner_ontonotes_bert_mult	chars_lstm_lstm_crf_ema	chars_lstm_lstm_crf	ner_rus	chars_conv_lstm_crf	lstm_crf	ner_rus_bert	slavic	lstm_crf_ema	ner_ontonotes	tener	chars_conv_lstm_crf_ema	seq2seq_w2v_lstm	ner_ontonotes_bert
weighted-average (without O)	0.626	0.864	0.857	0.639	0.854	0.711	0.800	0.756	0.713	0.770	0.919	0.855	0.911	0.404
unweighted-average (without O)	0.331	0.761	0.754	0.448	0.753	0.622	0.573	0.546	0.628	0.362	0.820	0.754	0.804	0.274
micro-average	0.881	0.965	0.963	0.885	0.960	0.917	0.918	0.901	0.918	0.826	0.983	0.961	0.979	0.827
recall
label	ner_ontonotes_bert_mult	chars_lstm_lstm_crf_ema	chars_lstm_lstm_crf	ner_rus	chars_conv_lstm_crf	lstm_crf	ner_rus_bert	slavic	lstm_crf_ema	ner_ontonotes	tener	chars_conv_lstm_crf_ema	seq2seq_w2v_lstm	ner_ontonotes_bert
LocOrg	0.000	0.388	0.339	0.000	0.380	0.143	0.000	0.000	0.173	0.000	0.639	0.375	0.432	0.000
Org	0.172	0.877	0.869	0.385	0.843	0.686	0.420	0.236	0.694	0.058	0.959	0.848	0.941	0.061
O	0.959	0.986	0.985	0.959	0.986	0.967	0.989	0.988	0.966	0.976	0.995	0.986	0.993	0.917
Location	0.020	0.760	0.758	0.562	0.731	0.634	0.608	0.568	0.626	0.000	0.739	0.733	0.809	0.000
Person	0.765	0.951	0.945	0.717	0.934	0.763	0.789	0.715	0.770	0.016	0.991	0.936	0.981	0.694
weighted-average (without O)	0.584	0.871	0.868	0.584	0.849	0.704	0.662	0.600	0.707	0.043	0.929	0.851	0.920	0.670
unweighted-average (without O)	0.239	0.744	0.728	0.416	0.722	0.556	0.454	0.380	0.566	0.018	0.832	0.723	0.791	0.189
micro-average	0.861	0.965	0.963	0.885	0.960	0.917	0.918	0.899	0.918	0.810	0.983	0.961	0.979	0.814
f1
label	ner_ontonotes_bert_mult	chars_lstm_lstm_crf_ema	chars_lstm_lstm_crf	ner_rus	chars_conv_lstm_crf	lstm_crf	ner_rus_bert	slavic	lstm_crf_ema	ner_ontonotes	tener	chars_conv_lstm_crf_ema	seq2seq_w2v_lstm	ner_ontonotes_bert
LocOrg	0.000	0.435	0.393	0.000	0.426	0.206	0.000	0.000	0.239	0.000	0.531	0.426	0.439	0.000
Org	0.228	0.885	0.876	0.468	0.866	0.709	0.567	0.369	0.717	0.109	0.961	0.870	0.944	0.113
O	0.936	0.986	0.985	0.943	0.984	0.962	0.961	0.953	0.963	0.895	0.996	0.985	0.993	0.908
Location	0.037	0.743	0.736	0.442	0.724	0.631	0.572	0.519	0.633	0.000	0.784	0.726	0.791	0.000
Person	0.759	0.937	0.931	0.770	0.919	0.748	0.831	0.784	0.750	0.030	0.985	0.921	0.977	0.501
weighted-average (without O)	0.596	0.867	0.861	0.598	0.850	0.705	0.711	0.646	0.708	0.081	0.920	0.852	0.914	0.486
unweighted-average (without O)	0.256	0.750	0.734	0.420	0.734	0.574	0.493	0.418	0.585	0.035	0.815	0.736	0.788	0.153
micro-average	0.871	0.965	0.963	0.885	0.960	0.917	0.918	0.900	0.918	0.818	0.983	0.961	0.979	0.820
